U+1F402	🐂	\xf0\x9f\x90\x82	OX
U+1F403	🐃	\xf0\x9f\x90\x83	WATER BUFFALO
U+1F404	🐄	\xf0\x9f\x90\x84	COW
U+1F405	🐅	\xf0\x9f\x90\x85	TIGER
U+1F406	🐆	\xf0\x9f\x90\x86	LEOPARD
U+1F407	🐇	\xf0\x9f\x90\x87	RABBIT
U+1F408	🐈	\xf0\x9f\x90\x88	CAT
U+1F409	🐉	\xf0\x9f\x90\x89	DRAGON
U+1F40A	🐊	\xf0\x9f\x90\x8a	CROCODILE
U+1F40B	🐋	\xf0\x9f\x90\x8b	WHALE
U+1F40C	🐌	\xf0\x9f\x90\x8c	SNAIL
U+1F40D	🐍	\xf0\x9f\x90\x8d	SNAKE
U+1F40E	🐎	\xf0\x9f\x90\x8e	HORSE
U+1F40F	🐏	\xf0\x9f\x90\x8f	RAM
U+1F410	🐐	\xf0\x9f\x90\x90	GOAT
U+1F411	🐑	\xf0\x9f\x90\x91	SHEEP
U+1F412	🐒	\xf0\x9f\x90\x92	MONKEY
U+1F413	🐓	\xf0\x9f\x90\x93	ROOSTER
U+1F414	🐔	\xf0\x9f\x90\x94	CHICKEN
U+1F415	🐕	\xf0\x9f\x90\x95	DOG
U+1F416	🐖	\xf0\x9f\x90\x96	PIG
U+1F417	🐗	\xf0\x9f\x90\x97	BOAR
U+1F418	🐘	\xf0\x9f\x90\x98	ELEPHANT
U+1F419	🐙	\xf0\x9f\x90\x99	OCTOPUS
U+1F41A	🐚	\xf0\x9f\x90\x9a	SPIRAL SHELL
U+1F41B	🐛	\xf0\x9f\x90\x9b	BUG
U+1F41C	🐜	\xf0\x9f\x90\x9c	ANT
U+1F41D	🐝	\xf0\x9f\x90\x9d	HONEYBEE
U+1F41E	🐞	\xf0\x9f\x90\x9e	LADY BEETLE
U+1F41F	🐟	\xf0\x9f\x90\x9f	FISH
U+1F420	🐠	\xf0\x9f\x90\xa0	TROPICAL FISH
U+1F421	🐡	\xf0\x9f\x90\xa1	BLOWFISH
U+1F422	🐢	\xf0\x9f\x90\xa2	TURTLE
U+1F423	🐣	\xf0\x9f\x90\xa3	HATCHING CHICK
U+1F424	🐤	\xf0\x9f\x90\xa4	BABY CHICK
U+1F425	🐥	\xf0\x9f\x90\xa5	FRONT-FACING BABY CHICK
U+1F426	🐦	\xf0\x9f\x90\xa6	BIRD
U+1F427	🐧	\xf0\x9f\x90\xa7	PENGUIN
U+1F428	🐨	\xf0\x9f\x90\xa8	KOALA
U+1F429	🐩	\xf0\x9f\x90\xa9	POODLE
U+1F42A	🐪	\xf0\x9f\x90\xaa	DROMEDARY CAMEL
U+1F42B	🐫	\xf0\x9f\x90\xab	BACTRIAN CAMEL
U+1F42C	🐬	\xf0\x9f\x90\xac	DOLPHIN
U+1F42D	🐭	\xf0\x9f\x90\xad	MOUSE FACE
U+1F42E	🐮	\xf0\x9f\x90\xae	COW FACE
U+1F42F	🐯	\xf0\x9f\x90\xaf	TIGER FACE
U+1F430	🐰	\xf0\x9f\x90\xb0	RABBIT FACE
U+1F431	🐱	\xf0\x9f\x90\xb1	CAT FACE
U+1F432	🐲	\xf0\x9f\x90\xb2	DRAGON FACE
U+1F433	🐳	\xf0\x9f\x90\xb3	SPOUTING WHALE
U+1F434	🐴	\xf0\x9f\x90\xb4	HORSE FACE
U+1F435	🐵	\xf0\x9f\x90\xb5	MONKEY FACE
U+1F436	🐶	\xf0\x9f\x90\xb6	DOG FACE
U+1F437	🐷	\xf0\x9f\x90\xb7	PIG FACE
U+1F438	🐸	\xf0\x9f\x90\xb8	FROG FACE
U+1F439	🐹	\xf0\x9f\x90\xb9	HAMSTER FACE
U+1F43A	🐺	\xf0\x9f\x90\xba	WOLF FACE
U+1F43B	🐻	\xf0\x9f\x90\xbb	BEAR FACE
U+1F43C	🐼	\xf0\x9f\x90\xbc	PANDA FACE
U+1F43D	🐽	\xf0\x9f\x90\xbd	PIG NOSE
U+1F43E	🐾	\xf0\x9f\x90\xbe	PAW PRINTS
U+1F43F	🐿	\xf0\x9f\x90\xbf	CHIPMUNK
U+1F440	👀	\xf0\x9f\x91\x80	EYES
U+1F441	👁	\xf0\x9f\x91\x81	EYE
U+1F442	👂	\xf0\x9f\x91\x82	EAR
U+1F443	👃	\xf0\x9f\x91\x83	NOSE
U+1F444	👄	\xf0\x9f\x91\x84	MOUTH
U+1F445	👅	\xf0\x9f\x91\x85	TONGUE
U+1F446	👆	\xf0\x9f\x91\x86	WHITE UP POINTING BACKHAND INDEX
U+1F447	👇	\xf0\x9f\x91\x87	WHITE DOWN POINTING BACKHAND INDEX
U+1F448	👈	\xf0\x9f\x91\x88	WHITE LEFT POINTING BACKHAND INDEX
U+1F449	👉	\xf0\x9f\x91\x89	WHITE RIGHT POINTING BACKHAND INDEX
U+1F44A	👊	\xf0\x9f\x91\x8a	FISTED HAND SIGN
U+1F44B	👋	\xf0\x9f\x91\x8b	WAVING HAND SIGN
U+1F44C	👌	\xf0\x9f\x91\x8c	OK HAND SIGN
U+1F44D	👍	\xf0\x9f\x91\x8d	THUMBS UP SIGN
U+1F44E	👎	\xf0\x9f\x91\x8e	THUMBS DOWN SIGN
U+1F44F	👏	\xf0\x9f\x91\x8f	CLAPPING HANDS SIGN
U+1F450	👐	\xf0\x9f\x91\x90	OPEN HANDS SIGN
U+1F451	👑	\xf0\x9f\x91\x91	CROWN
U+1F452	👒	\xf0\x9f\x91\x92	WOMANS HAT
U+1F453	👓	\xf0\x9f\x91\x93	EYEGLASSES
U+1F454	👔	\xf0\x9f\x91\x94	NECKTIE
U+1F455	👕	\xf0\x9f\x91\x95	T-SHIRT
U+1F456	👖	\xf0\x9f\x91\x96	JEANS
U+1F457	👗	\xf0\x9f\x91\x97	DRESS
U+1F458	👘	\xf0\x9f\x91\x98	KIMONO
U+1F459	👙	\xf0\x9f\x91\x99	BIKINI
U+1F45A	👚	\xf0\x9f\x91\x9a	WOMANS CLOTHES
U+1F45B	👛	\xf0\x9f\x91\x9b	PURSE
U+1F45C	👜	\xf0\x9f\x91\x9c	HANDBAG
U+1F45D	👝	\xf0\x9f\x91\x9d	POUCH
U+1F45E	👞	\xf0\x9f\x91\x9e	MANS SHOE
U+1F45F	👟	\xf0\x9f\x91\x9f	ATHLETIC SHOE
U+1F460	👠	\xf0\x9f\x91\xa0	HIGH-HEELED SHOE
U+1F461	👡	\xf0\x9f\x91\xa1	WOMANS SANDAL
U+1F462	👢	\xf0\x9f\x91\xa2	WOMANS BOOTS
U+1F463	👣	\xf0\x9f\x91\xa3	FOOTPRINTS
U+1F464	👤	\xf0\x9f\x91\xa4	BUST IN SILHOUETTE
U+1F465	👥	\xf0\x9f\x91\xa5	BUSTS IN SILHOUETTE
U+1F466	👦	\xf0\x9f\x91\xa6	BOY
U+1F467	👧	\xf0\x9f\x91\xa7	GIRL
U+1F468	👨	\xf0\x9f\x91\xa8	MAN
U+1F469	👩	\xf0\x9f\x91\xa9	WOMAN
U+1F46A	👪	\xf0\x9f\x91\xaa	FAMILY
U+1F46B	👫	\xf0\x9f\x91\xab	MAN AND WOMAN HOLDING HANDS
U+1F46C	👬	\xf0\x9f\x91\xac	TWO MEN HOLDING HANDS
U+1F46D	👭	\xf0\x9f\x91\xad	TWO WOMEN HOLDING HANDS
U+1F46E	👮	\xf0\x9f\x91\xae	POLICE OFFICER
U+1F46F	👯	\xf0\x9f\x91\xaf	WOMAN WITH BUNNY EARS
U+1F470	👰	\xf0\x9f\x91\xb0	BRIDE WITH VEIL
U+1F471	👱	\xf0\x9f\x91\xb1	PERSON WITH BLOND HAIR
U+1F472	👲	\xf0\x9f\x91\xb2	MAN WITH GUA PI MAO
U+1F473	👳	\xf0\x9f\x91\xb3	MAN WITH TURBAN
U+1F474	👴	\xf0\x9f\x91\xb4	OLDER MAN
U+1F475	👵	\xf0\x9f\x91\xb5	OLDER WOMAN
U+1F476	👶	\xf0\x9f\x91\xb6	BABY
U+1F477	👷	\xf0\x9f\x91\xb7	CONSTRUCTION WORKER
U+1F478	👸	\xf0\x9f\x91\xb8	PRINCESS
U+1F479	👹	\xf0\x9f\x91\xb9	JAPANESE OGRE
U+1F47A	👺	\xf0\x9f\x91\xba	JAPANESE GOBLIN
U+1F47B	👻	\xf0\x9f\x91\xbb	GHOST
U+1F47C	👼	\xf0\x9f\x91\xbc	BABY ANGEL
U+1F47D	👽	\xf0\x9f\x91\xbd	EXTRATERRESTRIAL ALIEN
U+1F47E	👾	\xf0\x9f\x91\xbe	ALIEN MONSTER
U+1F47F	👿	\xf0\x9f\x91\xbf	IMP
U+1F600	😀	\xf0\x9f\x98\x80	GRINNING FACE
